Temperature,Humidity,LightIntensity
25.3,70,14
25.3,70,15
25.3,70,16
25.3,70,17
25.3,70,18
25.3,70,19
25.3,70,20
25.3,70,21
25.3,70,22
25.3,70,23
25.3,70,24
25.3,70,25
25.3,71,26
25.3,71,27
25.3,71,28
25.3,71,29
25.3,71,30
25.3,71,31
25.3,71,32
25.3,71,33
25.3,71,34
25.3,71,35
25.3,72,36
25.3,71,37
25.3,72,38
25.3,71,39
25.3,71,40
25.3,71,41
25.3,71,42
25.3,71,43
25.3,71,44
25.3,71,45
25.3,71,46
26.3,72,47
27.3,73,48
28.3,74,49
22.9,81,50
23,81,51
23,81,52
23,81,53
23,83,54
23,81,55
23,81,56
23,81,57
23,82,58
23.4,84,59
23,82,60
23,84,61
23,82,62
23.4,81,63
23.4,81,64
23.4,81,65
23.4,81,66
23.4,81,67
23.4,80,68
23.4,80,69
60.1,66,70
23.4,81,71
23.4,80,72
23.4,81,73
23.4,81,74
23,81,75
23,81,76
23,81,77
23,81,78
24,82,45
25,83,46
26,84,47
27,85,48
28,86,49
23.8,78,748
23.8,78,753
23.8,79,776
23.8,78,793
23.8,78,738
23.4,77,745
23.4,79,792
23.4,80,735
23.4,80,748
23.4,79,798
23.4,80,768
23.4,80,793
23.4,80,750
23.4,80,794
23.8,80,762
23.4,79,758
23.4,79,745
23.4,79,768
23.4,79,797
23.4,79,799
23.4,79,725
23.4,78,763
23.4,78,798
23.4,79,798
23.4,78,757
23.4,79,797
23.8,79,776
23.8,78,794
23.8,78,756
23.8,77,752
23.8,77,739
23.8,78,760
23.8,77,796
23.8,77,750
23.4,77,796
23.4,77,747
23.4,77,750
23.4,78,793
24.1,79,761
24.1,79,758
24.5,79,765
24.5,79,788
24.5,78,801
24.5,78,780
24.5,78,747
24.5,78,758
24.5,78,774
24.5,78,841
24.5,78,835
24.5,78,837
24.5,77,842
24.5,77,840
24.5,77,860
24.5,78,869
24.5,78,831
24.5,78,826
24.5,77,847
24.5,77,860
24.8,77,842
24.8,77,737
24.8,77,787
24.5,77,754
24.5,77,801
24.8,77,840
24.8,77,841
24.5,77,838
24.5,77,836
24.5,77,866
24.5,77,833
24.5,77,860
24.5,77,836
24.5,77,825
24.5,77,860
24.5,77,834
24.5,77,826
24.5,77,855
24.2,77,848
24.1,77,836
24.1,78,861
24.1,78,834
24.1,78,857
24.1,78,829
24.1,78,848
24.1,78,845
24.1,78,840
24.1,78,836
24.1,78,869
24.1,78,826
24.1,78,833
24.1,78,846
24.1,78,823
24.1,79,825
24.1,79,829
24.5,79,847
24.5,78,859
24.5,78,831
24.5,77,805
24.5,77,823
24.5,77,813
24.5,77,846
24.5,77,705
24.5,77,749
24.5,77,729
24.5,77,747
24.5,77,722
24.5,77,762
24.5,77,711
24.5,77,786
24.5,77,730
24.1,11,865
24.1,77,843
24.1,77,845
24.5,77,841
24.5,77,842
24.5,77,847
24.5,76,846
24.5,76,868
24.5,76,838
24.5,76,862
24.5,76,833
24.5,76,849
24.5,77,836
24.5,77,848
24.5,77,841
24.5,77,864
24.5,77,846
24.5,77,848
24.5,77,850
25.5,78,858
23.8,98,824
23.8,80,822
23.8,73,840
23.8,73,824
23.8,73,824
23.8,73,845
23.8,73,823
23.8,73,821
23.8,73,831
23.8,73,814
23.8,73,723
23.8,73,726
23.8,73,816
23.8,73,843
23.8,73,836
24.1,72,820
23.8,72,763
23.8,72,706
23.8,72,828
23.8,72,821
23.8,72,818
24.1,72,821
24.1,72,811
24.1,72,833
23.8,72,848
24.1,72,810
24.1,73,822
24.1,72,814
24.1,72,837
24.1,72,818
24.1,72,822
23.8,72,820
24.1,72,842
24.1,72,826
24.1,72,829
24.1,72,823
24.1,72,841
24.1,72,853
24.1,72,820
24.1,72,813
24.1,72,762
24.1,72,742
24.1,72,727
24.1,72,745
24.1,72,774
24.1,72,765
24.1,72,718
24.1,72,721
24.1,72,734
24.1,72,740
24.1,72,759
24.1,72,720
24.1,72,738
24.1,72,728
24.1,72,720
24.1,72,740
24.1,72,720
24.1,72,775
24.1,72,735
24.1,72,748
24.1,72,774
24.1,72,734
24.1,71,749
24.1,71,728
24.1,71,723
24.1,72,738
24.1,72,735
24.1,71,768
24.1,71,738
24.1,71,759
24.1,71,749
24.1,71,717
24.1,71,735
24.1,71,727
24.1,71,733
24.1,71,740
24.1,71,766
24.1,71,763
24.1,72,735
24.1,72,732
24.1,71,730
24.1,72,748
24.1,71,712
24.1,71,727
24.1,71,773
24.1,71,773
24.1,71,742
24.1,72,741
24.1,71,769
24.1,71,729
24.1,71,753
24.1,71,708
24.1,71,760
24.1,71,717
24.1,71,740
24.1,71,735
24.1,71,773
24.1,72,774
24.1,71,708
24.1,72,735
24.1,72,716
24.1,72,768
22.6,71,842
22.6,71,833
22.6,71,789
23,71,794
23,70,800
23,71,813
23,70,835
23,70,835
23,69,796
23,69,674
23,70,680
23.4,70,668
23.4,69,729
23.4,70,716
23.4,70,720
23.4,70,750
23.4,69,722
23.4,69,746
23.4,69,696
23.4,70,702
23.4,70,712
23.4,69,715
23.4,69,709
23.4,69,722
23.4,69,727
23.4,69,834
23.4,69,797
23.4,69,816
23.4,69,807
23.4,69,810
23.4,69,812
23.4,69,833
23.4,70,762
23.4,69,776
23.4,69,744
23.4,69,810
23.4,69,796
23.4,70,796
23.4,70,806
23.4,69,758
23.4,69,713
23.4,69,685
23.4,69,718
23.4,70,685
23.4,69,746
23.4,69,686
23.4,69,675
23.4,69,685
23.4,69,741
23.7,69,726
23.4,69,709
23.4,69,756
23.4,70,713
23.4,70,727
23.5,70,686
23.5,70,725
23.4,70,715
23.8,70,722
23.8,70,738
23.8,70,736
23.8,70,713
23.4,69,769
23.4,69,712
23.4,69,756
23.8,69,740
23.8,69,727
23.8,69,768
23.4,70,712
23.4,70,754
23.4,69,768
23.4,69,746
23.4,69,762
23.4,69,738
23.4,69,735
23.4,69,768
23.4,70,736
23.4,70,758
23.4,70,730
23.4,70,748
23.4,71,712
23.4,70,722
23.4,70,716
23.4,70,758
23.4,70,766
23.4,70,725
23.4,70,772
23.4,71,715
23.4,71,737
23.4,71,741
23.4,71,748
23.4,71,752
22.6,71,761
22.6,71,716
22.6,71,715
23,71,776
23,71,716
23,71,760
23,70,726
23,70,742
23,70,749
23,70,805
23,71,730
23,71,727
23,72,729
23.4,71,759
23.4,70,794
23.4,70,787
23.4,69,749
23.4,70,807
23.4,70,741
23.4,70,786
23.4,70,782
23.4,70,754
23.4,70,757
23.4,70,747
23,70,742
23.4,70,758
23.4,70,879
23.4,71,841
23.4,71,866
23.4,71,844
23.4,70,820
23.4,70,834
23.4,69,867
23.4,69,855
23.4,69,871
23.4,69,873
23.4,69,833
23.4,69,831
23.4,69,838
23.4,69,870
23.4,69,835
23.4,69,838
23.4,69,808
23.4,69,807
23.4,69,778
23.4,69,675
23.4,69,676
23.4,69,712
23.4,69,831
23.4,69,822
23.4,69,830
23.4,69,802
23.4,69,794
23.4,69,837
23.4,69,806
23.4,69,833
23.4,69,806
23.4,69,823
23.4,69,834
23.4,69,852
23.4,69,727
23.4,70,728
23.4,69,729
23.4,69,865
23.4,69,864
23.4,69,826
23.4,69,829
23.4,69,832
23.4,69,856
23.4,69,860
23.4,69,843
23.4,69,832
23.4,69,834
23.4,69,860
23.4,69,857
23.4,69,834
23.4,69,855
23.4,69,830
23.4,69,843
23.4,69,840
23.4,69,860
23.4,69,844
23.4,75,840
23.4,73,834
23.4,73,842
23.4,73,819
23.4,73,831
23.4,73,821
23.4,72,855
23.8,73,837
23.8,72,825
23.8,71,842
23.8,71,840
23.8,71,821
23.8,69,855
23.8,69,826
23.8,69,825
23.8,70,857
23.8,70,829
23.8,69,822
23.8,69,848
23.8,71,836
23.8,70,823
23.8,71,820
23.8,71,825
23.8,71,846
23.8,71,826
23.8,70,852
23.8,70,820
23.8,69,852
23.8,69,853
23.8,69,824
23.8,69,843
23.8,69,843
23.8,69,847
23.8,69,847
23.8,69,820
23.8,69,821
23.8,69,846
23.8,69,832
23.8,69,842
23.8,68,856
23.8,68,845
23.8,67,835
23.8,68,845
23.8,69,831
23.8,68,820
23.8,69,824
23.8,69,849
23.8,69,864
23.8,69,841
23.8,69,860
23.8,70,861
23.8,69,852
23.8,69,822
23.8,69,852
23.8,69,829
23.8,69,828
23.8,69,862
23.8,69,822
23.8,69,836
23.8,69,860
23.8,69,821
23.8,69,858
23.8,69,828
23.8,69,773
23.8,69,783
23.4,69,782
23.4,69,718
23.8,69,736
23.8,69,734
23.8,70,781
23,77,848
23,77,822
23,76,849
23.4,75,820
23.4,75,843
23.4,74,849
23.4,74,853
23.4,74,852
23.4,75,843
23.8,74,829
23.8,74,844
23.8,73,814
23.8,74,832
23.8,74,814
23.8,75,841
23.8,75,820
23.8,75,848
23.8,75,830
23.8,75,811
23.8,74,835
24.1,75,849
24.1,75,843
21,69,800
21,69,817
21,70,828
21,70,843
21,70,817
21,69,824
21,69,822
21,69,856
21,69,824
21,69,834
21,69,855
21,68,834
21,69,835
21,69,881
21,69,912
21,68,876
21,70,768
21,70,764
21,69,793
21,69,793
21.4,69,793
21.4,69,782
21.4,69,769
21.4,67,786
21.4,66,762
21.4,66,792
21.4,68,785
21.4,68,776
21.4,67,759
21.4,66,783
21.4,66,763
21.4,66,808
21.4,66,784
21.4,67,796
21.4,68,800
21.4,68,768
21.4,67,773
21.4,66,771
21.4,65,788
21.4,64,808
20.6,70,773
20.6,70,847
20.6,70,822
20.6,70,855
20.6,70,866
20.6,70,854
20.6,70,853
20.6,70,858
20.6,70,876
21,69,843
21,69,847
21,69,881
21,69,860
21,68,848
21,69,881
20.6,70,859
20.6,70,880
20.6,70,877
20.6,70,859
20.6,70,846
20.6,69,855
20.6,70,861
20.6,69,873
20.6,69,866
20.6,69,873
20.6,69,895
20.6,69,885
20.6,69,886
20.6,69,876
20.6,69,888
20.6,69,893
20.6,69,876
20.2,69,890
20.2,69,912
20.2,69,888
20.2,69,895
20.2,69,896
20.6,69,888
20.6,69,886
20.6,69,886
20.6,69,908
20.6,69,888
20.6,69,892
20.6,69,886
20.6,70,883
20.6,70,824
20.6,69,782
18.2,70,618
18.2,70,678
18.2,70,596
18.6,70,522
19.6,71,475
20.6,72,753
21.6,73,772
22.6,74,738
19.4,68,799
19.4,65,853
19.4,65,841
19.4,65,860
19.8,65,825
19.8,65,860
19.8,64,753
19.8,65,842
19.8,65,831
19.8,64,826
19.8,65,822
19.8,64,900
20.2,64,849
20.2,64,849
20.2,63,840
20.2,63,857
20.2,64,818
20.2,64,841
20.2,63,830
20.2,63,842
20.2,63,849
20.2,63,833
20.2,63,855
20.2,71,855
20.2,71,858
20.2,70,856
20.2,70,859
20.3,70,861
20.6,71,853
20.2,71,879
20.2,71,889
20.2,71,871
20.2,71,885
20.2,71,890
20.2,71,855
20.2,71,892
20.6,71,878
20.6,71,868
20.6,71,867
20.6,71,869
20.6,71,857
20.6,71,888
20.6,71,876
20.6,71,856
20.6,71,858
18.2,72,692
18.2,72,684
18.2,72,693
18.2,71,729
18.2,71,675
18.2,70,693
18.2,72,675
18.3,71,736
18.6,71,663
18.6,70,694
18.2,70,692
18.2,70,716
18.6,66,741
18.6,70,667
19.8,70,842
19.8,70,831
19.8,70,831
19.8,70,818
19.8,70,841
20.2,70,842
20.2,70,859
20.2,70,824
20.2,70,866
20.2,70,868
20.2,70,832
20.2,70,845
20.2,69,867
20.2,69,858
20.2,69,825
20.2,69,832
20.2,69,860
20.2,69,868
20.2,69,855
20.2,69,951
20.2,70,822
20.2,69,832
21.8,73,691
21.8,73,702
21.8,73,740
21.8,73,696
21.8,73,762
21.8,73,692
21.8,73,754
22.2,73,721
22.2,73,741
22.2,73,694
22.2,72,701
22.2,73,664
22.2,73,627
22.2,73,580
21.8,73,591
22.8,74,475
21.8,75,720
19.2,76,512
20.2,77,569
21.2,78,810
22.2,79,793
22.2,80,801
22.2,81,835
22.2,82,812
23.2,83,552
22.6,73,826
22.6,73,601
22.6,73,824
22.6,73,830
22.6,73,818
22.6,73,785
22.6,73,834
22.6,73,828
22.7,72,812
22.6,73,796
22.7,73,843
22.6,73,835
22.6,73,694
22.6,73,847
22.7,72,824
22.7,72,794
22.6,72,816
22.7,72,826
20.6,78,816
26.2,59,878
26.2,59,546
24.8,59,564
24.8,59,541
24.5,59,536
25.3,58,555
26.2,58,480
26.2,58,517
26.2,58,550
22.2,73,866
22.2,73,869
22.3,74,885
22.2,86,718
22.2,87,760
22.2,88,718
22.2,86,735
22.2,85,737
22.2,85,749
22.2,86,778
22.6,86,740
22.6,86,769
22.6,85,729
22.6,85,744
22.6,85,782
22.6,85,727
22.6,85,712
22.6,85,722
22.6,85,721
22.6,84,732
22.6,84,727
22.6,83,782
23,82,768
21.8,88,728
21.8,88,730
21.8,88,718
22.2,88,722
22.2,88,727
22.2,89,732
22.2,88,738
22.2,87,777
22.6,87,721
22.6,88,766
22.6,88,763
22.6,87,739
22.6,86,758
22.6,86,746
22.6,86,728
22.6,86,736
22.6,85,744
22.6,85,740
22.6,86,773
22.6,86,774
22.6,86,717
22.6,86,722
22.6,86,721
22.6,85,720
22.6,86,748
22.6,86,768
22.6,85,736
22.6,82,727
22.6,82,729
22.6,84,753
22.6,84,734
22.6,85,749
22.6,85,781
22.6,85,765
22.6,85,741
22.6,85,718
22.6,85,736
22.6,85,722
22.6,85,785
22.6,85,820
22.6,85,817
22.6,85,821
22.6,85,814
22.6,84,812
22.6,84,834
22.6,85,832
22.6,85,852
22.6,84,835
22.6,84,820
22.6,84,855
22.6,82,812
22.6,84,854
22.6,85,826
21,75,842
21,77,831
21.1,77,848
21.4,77,807
21.4,76,833
21.4,76,843
21.4,76,814
21.4,76,847
21.4,76,814
21.4,76,814
21.4,76,720
21.4,76,746
21.4,75,780
21.4,75,836
21.4,76,813
21.8,77,833
21.8,77,842
21.8,76,810
21.8,75,820
21.8,74,845
21.8,74,813
21.8,74,811
21.8,74,813
21.8,74,811
21.8,74,814
21.8,74,941
21.8,74,812
21.8,74,806
21.8,75,818
21.8,75,817
21.8,74,820
21.8,74,818
21.8,74,849
21.8,74,812
21.8,75,805
21.8,75,848
21.8,74,810
21.8,74,845
21.8,74,814
21.8,74,834
21.8,74,813
21.8,74,848
21.8,74,832
21.8,73,818
22.2,73,825
22.2,74,843
21.8,74,840
21.8,74,807
21.8,74,814
21.8,74,813
21.8,74,814
21.8,74,832
21.8,74,807
21.8,74,816
21.8,74,813
22.2,74,807
22.2,74,814
22.2,74,824
22.2,74,849
22.2,74,820
21.9,74,846
22.6,72,667
22.6,73,823
22.6,73,788
22.6,72,800
22.6,72,823
22.6,72,796
22.6,72,794
22.6,72,801
22.6,72,794
22.6,73,824
22.6,73,798
22.6,72,805
22.6,73,799
22.6,73,832
22.6,73,812
22.6,73,807
22.6,73,833
22.6,73,806
22.6,73,819
22.6,73,807
22.6,73,788
22.6,73,825
22.6,73,802
22.6,73,832
23,74,820
23,74,788
23,74,824
23,74,833
23,73,823
23,73,821
23,73,798
23,73,808
23,73,840
23,73,810
23,73,832
23,73,841
22.7,73,806
23,74,800
23,74,795
23,73,821
22.6,73,843
22.8,74,802
23,74,818
23,73,810
22.6,73,824
22.6,73,814
23,76,802
23,74,814
23,73,840
23,73,843
23,73,841
23,73,807
23,73,841
23,73,823
23,73,796
23,73,841
23,73,804
23,73,816
23,73,841
23,73,801
23,73,811
23,72,805
23,72,802
23,72,812
23,73,830
23.4,73,833
23.4,73,797
23.4,72,812
23.4,72,806
23.4,73,805
23.4,73,831
23.4,72,810
23.4,72,817
24.1,71,833
24.1,72,813
24.1,72,841
24.5,72,831
24.5,71,828
24.6,71,817
24.8,69,812
24.8,70,802
24.8,69,795
24.8,69,806
24.8,70,841
24.8,70,831
24.5,69,801
24.5,69,822
24.8,69,801
24.8,70,842
24.8,70,821
24.8,69,841
24.8,70,816
24.8,70,812
25.3,70,831
25.3,70,800
25.3,70,841
25.3,69,798
25.3,69,832
25.3,69,798
24.8,70,821
24.8,70,806
24.8,70,832
24.8,71,798
24.8,70,825
24.8,70,823
25.3,69,814
25.3,69,842
24.8,70,798
24.8,69,806
24.8,70,807
24.8,69,834
25.3,69,819
25.3,69,818
25.3,69,798
25.3,69,806
25.3,69,820
25.8,69,808
25.8,69,813
25.3,69,821
25.3,69,798
25.3,69,805
25.3,69,829
25.8,69,807
25.8,69,808
25.3,69,800
25.3,69,832
25.3,69,807
25.3,70,800
25.3,69,807
25.8,69,801
25.8,69,807
25.8,70,825
25.8,69,806
25.8,69,818
25.3,69,805
26.3,70,775
27.3,71,705
23,77,756
23.4,77,728
23.3,76,729
23,75,729
23,75,715
23,75,759
23,75,714
23,75,766
23,75,736
23,75,717
23,75,712
22.7,75,765
22.6,75,760
23,76,721
23,76,728
23,75,720
23,75,714
23,75,705
23,75,756
23,75,726
23,75,715
23,75,726
23,75,744
23,75,711
23,76,721
23,76,753
23,76,734
23,75,706
23,75,708
23,76,725
23,76,720
23,76,720
23,75,734
23,75,745
22.7,75,750
23,75,716
23,75,765
23,75,745
23,75,728
23,75,816
23,75,856
23,76,847
23,76,835
23,76,860
23,75,811
23,77,835
23,76,823
23.4,77,811
23.4,75,831
23.4,75,805
23.4,74,826
23.4,74,814
23.4,73,807
23.4,74,831
23.4,73,848
23.4,75,834
23.8,74,835
23.8,74,820
23.8,74,842
23.8,74,805
23.8,73,826
23.8,73,855
23.8,73,843
24.1,73,816
23.8,73,850
23.8,73,857
23.8,73,856
23.8,73,826
23.8,73,853
23.8,73,845
23.8,73,845
23.8,73,822
23.8,73,812
23.8,73,806
23.8,73,800
24.1,73,831
24.1,73,818
24.1,73,845
24.1,73,813
23.8,73,806
23.8,73,816
23.8,73,840
23.8,73,828
23.8,73,814
23.8,73,809
23.8,73,833
24,73,856
24.1,73,812
24.1,73,856
24.1,73,810
24.1,73,825
24.1,73,836
24.1,72,812
24.1,72,820
24.1,72,820
24.1,72,842
24.1,72,814
24.1,72,829
23.4,77,837
23.4,77,802
23.8,77,834
23.8,77,812
23.8,76,832
23.8,76,825
23.8,77,760
24.1,76,706
24.1,75,722
24.1,75,747
24.1,75,758
24.1,75,769
24.1,75,758
24.1,74,721
24.1,74,760
24.1,74,732
24.1,74,729
24.1,74,710
24.1,74,770
24.1,74,703
24.1,74,720
24.1,74,745
24.1,74,726
24.1,74,749
24.1,75,716
24.1,75,732
24.1,74,776
24.1,74,757
24.1,75,734
24.1,75,738
24.1,75,729
24.1,74,733
24.1,76,721
24.1,76,744
24.1,76,714
24.1,76,737
24.1,76,736
24.1,75,729
24.1,75,723
24.1,74,748
24.1,74,768
24.1,74,716
24.1,74,773
24.1,74,720
24.2,74,754
24.5,74,765
24.5,73,771
24.5,73,711
24.5,74,777
24.1,73,770
24.1,74,746
24.1,74,773
24.1,74,746
24.1,73,720
24.5,73,740
24.2,73,776
24.1,74,773
24.1,75,766
24.1,75,720
24.1,76,709
24.1,75,768
24.1,75,703
24.1,75,725
24.1,75,773
24.1,77,738
24.5,77,723
24.5,76,714
24.1,75,774
24.1,74,774
24.2,75,703
24.5,75,762
24.5,76,774
18.6,74,735
18.6,74,702
18.6,74,708
18.6,73,732
18.6,73,748
18.6,73,738
18.6,73,701
18.6,73,721
18.6,73,720
18.6,73,702
18.6,73,728
18.6,73,717
18.6,73,715
18.6,73,722
18.6,73,739
18.6,73,703
18.6,72,736
18.6,72,768
18.6,72,709
18.6,72,720
18.6,73,721
18.6,73,734
18.6,73,700
19,73,710
19,73,696
18.8,73,768
19,73,735
19.8,84,786
19.8,86,774
19.8,86,741
19.8,86,793
19.8,85,780
20.2,85,775
20.2,84,780
20.2,84,754
20.2,84,800
20.2,85,749
20.2,83,802
20.2,82,742
20.2,82,817
20.2,82,824
20.2,82,834
20.2,82,859
20.2,82,829
20.2,82,864
20.2,82,860
20.2,81,850
20.2,81,866
20.2,81,824
20.2,81,830
20.2,81,817
20.2,81,861
20.2,81,738
20.2,80,745
20.2,80,738
20.2,80,744
20.2,81,794
20.2,80,736
20.2,80,773
20.2,81,760
20.2,81,768
20.2,81,747
20.2,81,774
20.2,81,748
20.2,81,746
20.2,81,782
20.2,81,800
20.2,81,784
20.2,82,754
20.2,82,769
20.2,81,782
20.2,81,756
20.3,82,754
20.6,82,741
20.6,82,775
20.6,82,740
20.6,82,749
20.6,82,842
20.6,82,825
20.6,82,849
20.6,81,832
20.6,80,825
20.6,80,821
20.6,80,848
20.6,80,745
20.6,80,785
20.6,80,798
20.2,80,749
20.6,80,774
20.6,80,750
20.6,79,797
20.6,79,752
20.6,79,788
20.2,79,776
20.2,79,736
20.2,80,798
20.2,80,738
20.2,80,762
20.2,80,739
20.2,80,736
20.2,80,735
20.2,80,795
20.2,79,787
20.2,79,756
20.2,80,792
20.6,79,764
20.2,79,749
20.2,80,746
20.2,80,798
20.2,80,741
20.2,80,756
20.2,79,766
20.2,79,775
20.2,79,780
20.2,79,745
20.2,79,769
20.2,80,788
20.6,80,750
21.8,70,843
21.8,71,885
21.8,71,865
21.8,71,865
21.8,71,859
21.8,71,841
21.8,71,878
21.8,71,841
21.8,71,867
22.8,72,976
23.8,73,842
24.8,74,726
25.8,75,691
26.8,76,710
27.8,77,701
28.8,78,842
29.8,79,853
30.8,80,849
31.8,81,865
32.8,82,844
33.8,83,800
33.8,38,849
33.2,37,846
28.5,45,867
25.8,53,627
24.1,58,428
23.8,62,355
23,63,364
23,63,352
22.6,65,974
20.6,80,861
20.6,81,878
21,81,842
21,81,835
21,81,113
21.8,71,316
21.8,70,1024
22.2,67,871
22.3,69,866
19.4,82,812
19.4,82,329
19.4,82,847
19.4,80,852
19.4,82,835
19.4,82,840
19.5,82,832
19.8,82,927
19.4,82,825
19.4,82,836
19.4,82,806
19.4,82,834
19.8,82,868
19.8,82,874
19.8,82,336
20.2,79,351
20.2,76,704
21.4,73,798
21.4,73,845
21.4,73,796
21.4,72,835
21.4,72,840
21.4,72,798
21.4,71,818
21.4,72,833
21.8,72,806
21.8,72,806
21.8,72,843
21.8,72,809
21.8,72,811
21.8,72,801
21.8,71,796
21.8,71,814
21.8,71,797
21.8,71,786
21.8,71,811
21.8,71,840
22.8,69,1024
23.8,69,849
24.8,70,848
25.8,71,849
26.8,72,543
27.8,73,487
27.6,67,482
28,64,502
25.8,60,379
25.8,60,421
25.8,58,377
26.8,59,376
27.8,60,384
27.1,58,388
27.1,57,389
27.1,56,382
22.2,70,877
