dhtTemp,dhthum,LDR value,rainValue,pressure,altitude,aqi value
31.68,71.36,785,746,1011.01141,8.24406,485
31.69,73.51,784,691,1011.05609,7.87117,301
31.78,72.96,771,720,1011.05658,7.86715,292
31.8,72.96,854,761,1011.07422,7.72021,443
31.83,71.85,880,751,1011.09595,7.53906,457
31.85,66.67,877,692,1011.11047,7.4178,447
30.56,69.16,895,754,1011.12811,7.27036,481
30.58,71.89,885,755,1011.13141,7.24319,150
30.63,72.82,886,41,1011.15161,7.07463,442
30.65,72.23,888,165,1011.16022,7.00268,239
30.86,65.32,893,31,1011.15735,7.02683,450
31.12,69.17,890,32,1011.14648,7.1174,128
31.17,72.46,896,147,1011.16248,6.98406,462
31.22,69.29,908,34,1011.15405,7.054,311
31.25,71.66,892,107,1011.17999,6.83764,298
31.27,61.26,883,804,1011.16327,6.97752,324
31.29,73.04,618,448,1011.15002,7.08771,302
31.4,69.24,678,272,1011.15747,7.02582,318
31.41,72.54,596,745,1011.15283,7.06457,304
31.53,69.45,522,788,1011.14771,7.10734,153
29.13,71.72,475,736,1011.15851,7.01677,183
29.09,72.35,900,787,1011.16528,6.96041,296
29.11,63.09,889,797,1011.17236,6.90154,479
29.14,67.03,878,796,1011.16034,7.00167,297
29.16,63.15,684,760,1011.1283,7.26886,293
29.17,70.62,693,798,1011.12781,7.27288,313
29.15,67.4,663,721,1011.14917,7.09476,295
29.12,67.49,694,766,1011.15796,7.0218,328
29.18,65.4,667,794,1011.15845,7.01727,309
29.2,68.86,951,747,1011.1543,7.05199,341
29.22,69.67,701,790,1011.18188,6.82204,333
29.21,71.59,664,800,1011.53632,3.86593,141
29.23,78.76,627,836,1011.52112,3.99269,130
29.25,77.43,580,840,1011.54407,3.80155,321
29.27,80.7,591,835,1011.54437,3.79903,316
29.29,76.28,512,865,1011.54541,3.78998,319
29.39,75.31,569,870,1011.53455,3.88052,322
26.46,72.78,552,849,1011.52533,3.95748,237
26.49,71.61,601,859,1011.52814,3.93434,216
26.5,73.24,546,784,1011.54718,3.77539,249
26.53,72.48,564,802,1011.53485,3.878,278
26.55,69.03,541,842,1011.55078,3.74521,266
26.56,71.94,536,838,1011.54596,3.78545,271
26.58,80.33,555,834,1011.52753,3.93937,227
26.61,76.21,480,828,1011.51257,4.06412,220
26.63,84.39,517,858,1011.51154,4.07267,224
26.65,81.05,550,829,1011.50531,4.12448,105
26.66,73.57,777,846,1011.50232,4.14963,146
26.67,77.13,941,837,1011.5047,4.12951,143
26.68,76.39,795,824,1011.47986,4.33676,134
26.69,76.36,804,823,1011.46857,4.43083,145
26.7,72.6,809,826,1011.44983,4.58727,196
32.93,76.43,710,845,1011.44366,4.63859,198
32.89,80.19,703,814,1011.4458,4.62098,199
32.91,88.98,976,744,1011.44135,4.6582,166
32.83,78.43,428,712,1011.44116,4.65971,169
32.95,80.69,355,786,1011.44708,4.60991,138
32.61,88.73,364,732,1011.43073,4.74674,185
32.88,86.5,352,844,1011.42487,4.79554,180
32.9,84.12,974,848,1011.42877,4.76284,182
32.92,81.37,113,869,1011.40607,4.95199,189
32.71,81.83,316,847,1011.40033,5.00028,176
32.73,85.59,329,855,1011.37671,5.19698,200
32.74,83.6,927,822,1011.36487,5.29559,201
32.75,83.3,874,821,1011.34186,5.48777,194
33.79,86.85,336,831,1011.32617,5.61857,191
33.81,88.86,351,816,1011.323,5.64523,186
34.01,86.51,704,708,1011.29187,5.90484,195
34.03,87,543,820,1011.27966,6.00646,193
34.04,83.35,487,812,1011.24921,6.26054,192
34.08,90.71,482,811,1011.25079,6.24746,225
34.14,89.2,502,818,1011.26001,6.17048,223
33.55,88.99,379,817,1011.2807,5.99791,177
33.01,78.46,421,772,1011.29687,5.86308,162
33.3,80.09,377,717,1011.29486,5.87968,137
32.79,94.16,376,718,1011.27325,6.05979,129
33.24,90.13,384,738,1011.26984,6.08847,126
33.11,86.47,388,713,1011.22321,6.47739,131
33.1,82.67,389,739,1011.20673,6.61475,133
33.05,76.43,382,792,1011.20953,6.5916,125
33.14,73.4,884,793,1011.22314,6.47789,124
33.02,75.6,933,675,1011.22778,6.43915,123
33.07,78.29,689,680,1011.22736,6.44267,50
33.19,88.63,653,674,1011.20667,6.61525,49
33.16,92.81,624,725,1011.16174,6.9901,53
33.13,89.61,614,705,1011.16296,6.98004,57
33.17,94.48,649,685,1011.1756,6.87437,51
33.33,94.91,644,686,1011.15326,7.06105,60
33.37,96.01,636,684,1011.14825,7.10231,55
33.44,89.13,662,676,1011.12585,7.28949,77
33.49,86.69,578,688,1011.1189,7.34735,109
33.52,87.31,992,723,1011.11438,7.38509,81
33.57,87.24,629,768,1011.12061,7.33326,65
33.58,80.64,615,734,1011.12231,7.31917,99
33.61,83.12,598,724,1011.11139,7.41025,98
33.62,83.38,907,742,1011.13892,7.1803,94
33.64,81.21,913,778,1011.14081,7.1647,92
33.63,87.28,982,873,1011.11768,7.35741,87
33.67,90.29,307,775,1011.117,7.36345,88
33.68,85.55,904,673,1011.09985,7.50636,86
33.7,88.47,488,808,1011.10626,7.45302,84
33.69,88.42,917,864,1011.13049,7.25074,82
33.71,88.31,261,854,1011.12518,7.29502,79
34.2,84.07,944,862,1011.12128,7.32773,75
34.37,86.02,931,857,1011.11389,7.38911,80
34.23,83.45,898,783,1011.11096,7.41377,78
34.17,84.04,637,782,1011.1214,7.32672,63
34.09,92.66,634,780,1011.12408,7.30408,46
33.97,91.48,724,819,1011.10803,7.43792,38
33.96,90.63,317,881,1011.12439,7.30156,42
33.94,81.16,619,860,1011.11938,7.34333,40
33.95,80.68,665,876,1011.10278,7.4817,36
33.99,83.7,652,894,1011.09186,7.57278,39
34,82.93,642,884,1011.09875,7.51541,35
34.02,85.63,628,893,1011.11658,7.36697,33
33.98,85.43,682,909,1011.11523,7.37805,30
33.93,81.56,673,888,1011.1156,7.37503,32
33.89,83.24,625,908,1011.11993,7.3388,19
33.85,88.55,313,781,1011.10577,7.45704,37
33.87,79.54,374,614,1011.10016,7.50384,34
33.9,78.24,602,598,1011.10565,7.45805,27
33.92,78.84,620,525,1011.09839,7.51843,31
33.91,85.61,980,470,1011.09534,7.5441,18
30.66,86.53,607,890,1011.08221,7.65329,58
30.64,92.01,600,889,1011.06268,7.81632,85
30.61,83.89,610,679,1011.07751,7.69254,74
30.55,88.1,640,690,1011.07062,7.75041,76
30.54,92.24,604,677,1011.06158,7.82538,68
30.57,90.9,670,666,1013.41296,-11.77151,71
30.52,79.18,648,670,1013.44122,-12.00657,69
30.49,77.46,622,866,1013.43298,-11.93826,72
30.47,84.14,633,662,1013.38562,-11.54449,20
30.5,74.42,616,626,1013.39471,-11.61983,23
30.51,77.45,613,580,1013.28345,-10.69361,44
30.41,81.01,645,592,1013.26154,-10.51077,64
30.44,77.82,646,514,1013.26086,-10.50475,59
30.46,76.76,687,567,1013.29065,-10.75289,41
30.48,77.44,790,554,1013.29889,-10.82221,48
30.45,82.76,681,600,1013.27374,-10.61224,10
30.53,82.52,289,809,1013.25665,-10.47059,26
30.43,79.97,267,547,1013.22455,-10.20235,24
30.42,76.09,654,543,1013.18341,-9.85975,9
30.4,72.17,690,535,1013.17084,-9.75526,28
30.6,83.05,661,556,1013.15997,-9.66484,22
30.62,85.24,657,480,1013.07281,-8.9394,25
30.59,90.4,655,518,1013.04248,-8.6862,21
30.68,87.38,658,552,1013.00073,-8.33852,29
31.86,82.48,666,714,1012.97888,-8.15665,16
31.88,80.4,973,737,1012.97144,-8.09434,17
31.89,74.02,484,795,1012.95422,-7.95165,11
29.37,72.69,442,799,1012.90967,-7.57984,4
29.38,74.53,542,711,1012.88452,-7.37081,62
34.38,72.27,606,733,1012.85883,-7.15676,52
34.52,82.56,608,697,1012.87604,-7.30047,54
34.91,87.46,574,979,1012.87183,-7.2653,43
34.95,90.87,567,704,1012.86139,-7.17786,14
34.93,90.16,556,628,1013.86139,-6.17786,8
35.93,93.37,557,355,1012.81281,-6.77286,197
34.72,83.14,558,365,1012.79272,-6.60603,165
34.9,82.74,465,351,1012.77612,-6.46734,168
34.87,76.02,452,113,1012.76843,-6.40402,252
34.81,82.61,461,315,1017.36719,-44.64458,132
34.78,79.09,583,328,1017.34564,-44.46634,147
34.8,87.55,554,927,1017.30109,-44.09583,179
34.82,87.99,214,336,1017.27533,-43.88253,115
34.74,97.23,356,487,1017.26208,-43.77237,140
34.79,88.28,293,482,1017.24451,-43.62616,156
34.77,82.4,288,502,1017.20612,-43.30769,251
34.71,79.21,277,379,1017.18158,-43.10439,228
34.69,84.71,302,420,1017.18048,-43.09538,170
34.33,78.53,401,377,1017.19226,-43.19252,159
34.49,78,406,384,1017.245,-43.63016,242
34.5,74.94,412,389,1017.27966,-43.91858,274
34.54,69.61,340,387,1017.3078,-44.15191,259
34.55,78.78,358,902,1017.28424,-43.95663,120
34.57,87.18,381,872,1017.26532,-43.79941,136
34.58,94.26,346,687,1017.26202,-43.7273,222
34.61,92.98,365,645,1017.25659,-43.78839,230
34.6,78.18,283,620,1017.26398,-43.85849,217
34.59,78.6,373,681,1017.2724,-44.08081,229
34.43,77.04,370,638,1017.29919,-44.27708,214
33.2,85.08,375,663,1017.32281,-44.41227,111
33.18,84.47,361,992,1017.33911,-44.35118,160
33.15,77.43,409,616,1017.33185,-44.56948,163
23,72.59,393,648,1017.35815,-49.8363,139
23,78.13,391,906,1017.9928,-49.67116,142
24,82.32,392,934,1017.97284,-49.70419,117
23,82.72,385,308,1017.97687,-49.69518,102
24,77.2,386,390,1017.97577,-50.09452,108
25,74.34,387,488,1018.02393,-50.02946,121
26,71.46,400,919,1018.01611,-50.10252,107
27,69.3,399,261,1018.02484,-50.08851,118
27,72.46,394,931,1018.02313,-50.28667,110
26.7,68.39,408,639,1018.04706,-50.80107,114
27,67.69,460,634,1018.10907,-50.85312,89
22,69.14,456,317,1018.1153,-51.05627,97
25,69.44,266,618,1018.13983,-51.42854,100
20.6,65.26,264,656,1018.18475,-51.70472,116
23.2,69.05,262,621,1018.21796,-51.9789,83
22.2,65.22,257,672,1018.25104,-52.71235,112
23,60.44,273,619,1018.33954,-53.33369,113
23,67.5,269,655,1018.41437,-53.76991,61
23,90.13,256,699,1018.46704,-53.98401,90
23,90.16,255,637,1018.4928,-54.24012,93
24.6,90.17,253,667,1018.52368,-54.38618,47
23.1,87.2,102,629,1018.54138,-54.22612,45
22.1,79.44,100,313,1018.52203,-54.34217,95
22,74.34,109,374,1018.53607,-54.44621,66
25,63.59,116,596,1018.54852,83.84582,103
24.8,56.3,114,608,1001.98206,84.32383,127
23,61.95,115,602,1001.92517,84.40392,106
21,65.17,104,607,1001.91565,81.02332,91
21.1,66.88,123,658,1002.31799,80.82772,101
23,67.16,118,604,1002.34125,22.58067,96
26,69.57,117,642,1009.29413,22.03394,70
27,71.68,157,669,1009.35956,21.93769,73
27.7,66.73,222,668,1009.37109,18.05498,122
27.2,68.39,166,606,1009.83594,18.11844,154
24,72.98,133,636,1009.82837,18.14715,149
23,72.43,204,617,1009.82495,18.32798,144
23,71.3,200,652,1009.80328,18.48414,104
25,69.43,192,601,1009.78455,18.55919,215
26,70.15,188,698,1009.77557,18.50932,246
26.1,73.51,177,771,1009.78156,18.68411,256
22.8,72.49,181,289,1009.76062,18.76572,218
24,75.32,176,267,1009.75085,18.81962,207
24,87.47,173,649,1009.74438,18.80803,211
25,92.13,168,646,1009.74579,18.65893,221
25.3,83.73,162,653,1009.76361,18.36929,119
26,80.14,154,661,1009.79834,18.19249,202
26,73.99,163,484,1009.81952,18.15824,210
27,75,161,442,1009.82361,18.06455,312
27,71.93,160,391,1009.83484,18.21163,270
28,67.12,159,678,1009.8172,18.4514,257
27,66.38,158,679,1009.78851,18.49874,212
29,78.69,156,752,1009.78284,18.65137,287
28.1,86.65,557,743,1009.76453,18.72089,204
29,81.01,547,755,1009.75623,53.18661,171
29.2,81.5,530,791,1005.63586,52.94553,157
26,78.6,570,767,1005.66467,51.16066,67
30.3,76.78,538,731,1005.87769,51.10608,148
31,71.92,559,732,1005.88422,50.98734,158
30.4,72.56,568,733,1005.89838,36.30126,167
30.1,63.76,562,734,1007.65283,37.07531,151
30.7,67.71,563,735,1007.5603,36.66053,135
30.9,71.27,582,736,1007.60986,41.96621,152
31.2,71.55,560,737,1006.97577,36.63429,219
32,75.38,532,738,1007.61298,43.11381,175
31.6,70.02,548,739,1006.83868,36.86086,181
30.8,74.36,531,740,1007.58594,36.68222,203
32,75.35,603,741,1007.60724,36.2392,205
32.3,68.78,592,742,1007.66022,36.43144,208
33,74.06,573,743,1007.63727,35.79568,213
32.1,74.85,576,744,1007.71326,36.88407,226
32.3,65.84,590,745,1007.58313,36.11154,231
32.3,66.12,581,746,1007.67548,36.23768,234
33,74.54,594,747,1007.6604,36.25282,240
35.1,69.73,553,748,1007.65857,36.23466,241
35.6,69.5,571,749,1007.66077,36.04796,243
35.5,73.55,523,750,1007.68311,36.05402,244
35.2,77.78,529,751,1007.68237,36.51823,247
35,75.61,525,752,1007.62689,35.91325,248
34.3,82.13,513,753,1007.69922,35.8754,254
34.6,75.21,527,754,1007.70374,36.43346,258
34.2,73.3,499,755,1007.63702,36.22154,260
35,68.36,534,756,1007.66235,36.58585,261
34,66.63,496,757,1007.61877,36.40066,264
33,66.54,528,758,1007.64093,36.8003,273
32.2,65.76,521,759,1007.59314,36.91939,275
34,66.97,545,760,1007.57892,37.03141,277
37,66.28,533,761,1007.56555,36.73672,280
35.2,63.17,524,762,1007.60077,36.6908,281
33.4,70.21,549,763,1007.60626,36.69232,284
33,61.1,535,764,1007.60608,36.49401,285
33,60.54,503,765,1007.62976,36.81796,286
33,62.81,505,766,1007.59106,36.72764,288
33.4,64.92,518,767,1007.60181,36.83058,290
33,63.05,454,768,1007.58954,37.01224,299
33,63.22,434,769,1007.56781,37.03444,308
33,63.49,448,770,1007.56519,36.78769,314
34,66.05,441,500,1007.59467,36.95219,342
34,67.51,435,501,1007.57501,36.49603,448
34,64.89,424,502,1007.62952,36.30782,449
34,66.79,445,503,1007.65204,36.06512,
34.2,77.73,470,504,1007.68103,36.19782,
33.6,62.9,447,505,1007.66516,36.02122,
34,53.55,438,506,1007.68628,36.08126,
34.6,53.95,467,507,1007.67908,36.14585,
37,62.71,519,508,1007.67139,36.37291,
35.2,57.37,520,509,1007.64423,36.50864,
35,50.95,537,510,1007.62799,36.54699,
35.6,53.57,497,511,1007.62341,36.53236,
34,59.05,540,512,1007.62518,36.71957,
35,58.96,551,513,1007.60278,33.50323,
35,60.08,425,525,1007.98737,33.06135,
36.2,55.31,449,526,1008.04016,32.89691,
39,64.88,413,527,1008.05981,32.68405,
41,55.27,455,528,1008.08533,32.6326,
39,62.33,422,529,1008.09143,32.33752,
38.1,65.6,426,530,1008.12671,32.50196,
37,67.2,418,531,1008.10706,32.27801,
37,65.44,429,532,1008.13385,32.32946,
37,61.5,451,533,1008.12769,32.60032,
35,61.14,481,534,1008.09534,32.29869,
34.5,56.06,450,535,1008.13141,32.03439,
34,53.12,474,536,1008.16296,32.10198,
30,70.95,436,537,1008.15491,32.11863,
33,64.5,431,538,1008.15289,31.86694,
36,67.94,471,980,1008.18304,31.60266,
35.7,60.36,457,981,1008.2146,31.14119,
36,58.6,458,982,1008.26984,30.6641,
35,60.48,432,983,1008.3269,30.57635,
32,62.85,446,984,1008.3374,30.28285,
33,46.95,479,985,1008.3725,29.85371,
31,44.01,433,805,1008.42383,29.89355,
34,45.5,472,806,1008.41907,29.5804,
34,52.89,463,807,1008.45648,29.11902,
34.5,48.65,437,808,1008.51172,28.75345,
35,42.86,483,809,1008.55542,28.79228,
35,60.79,439,810,1008.55078,28.34404,
35,60.66,490,811,1008.60443,28.03245,
36,47.7,743,812,1008.64166,28.02792,
34,71.07,707,813,1008.64221,28.14589,
36,66.25,466,814,1008.62811,28.20589,
36,49.62,202,815,1008.62091,28.22808,
32,60.05,165,816,1008.61829,28.04002,
34.1,49.33,241,817,1008.64081,27.9291,
34.3,57.61,258,818,1008.65405,27.69264,
36,59.5,231,819,1008.68237,50.32745,
36.5,67.16,249,820,1005.97717,50.29966,
36.6,70.89,515,821,1005.98047,50.51692,
37.4,73.52,462,822,1005.95453,50.34968,
33.7,73.07,516,823,1005.97455,50.40324,
35,79.87,504,824,1005.96814,50.20568,
34,64.26,511,825,1005.9917,50.10614,
33.2,70.27,492,826,1006.0036,50.22033,
35,75.13,500,827,1005.98999,50.34008,
34,73.47,477,828,1005.97565,50.37848,
35,74.57,501,829,1005.97107,50.54067,
36,67.85,509,830,1005.95172,50.27035,
36,66.91,476,831,1005.98401,50.26227,
36,63.44,477,832,1005.98499,50.09857,
36,66.46,478,833,1006.00452,50.16829,
35,65.89,479,834,1005.99615,50.05511,
34,71.15,480,835,1006.0097,50.07027,
33,77.72,481,836,1006.00787,49.86413,
35,68.46,482,837,1006.03247,49.80199,
36,70.92,483,838,1006.03992,49.81816,
36,72.79,484,839,1006.03796,49.8222,
34,69.44,485,840,1006.03748,49.72671,
35,70.84,486,841,1006.04889,49.68932,
34,72.1,487,842,1006.05334,49.92981,
32,66.5,488,843,1006.02466,50.09503,
34,56.97,489,844,1006.00494,50.28349,
32,65.22,490,845,1005.98242,50.21124,
34.2,68.41,491,846,1005.99103,50.11928,
32,77.69,492,847,1006.00201,49.80452,
33,74.05,493,848,1006.03961,49.79491,
33,74.77,494,849,1006.04077,48.49806,
30,74.75,495,850,1006.19562,48.54302,
31.2,78.2,496,851,1006.19025,48.29801,
34,72.78,497,852,1006.21948,48.31317,
34.1,64.97,498,853,1006.21765,48.48139,
34,72.73,499,854,1006.19757,48.47179,
32,67.49,500,855,1006.19873,48.4627,
31.5,61.64,501,856,1006.19983,48.40662,
33.6,63.12,502,857,1006.20654,48.30256,
30.4,68.01,503,858,1006.21893,48.26972,
34,80.59,504,859,1006.22284,48.10807,
33,75.27,505,860,1006.24219,48.16667,
31,73.19,506,861,1006.23517,48.06614,
33.6,69.82,478,862,1006.24719,47.99795,
32,73.07,479,863,1006.25531,48.22375,
32.8,73.61,480,864,1006.22833,48.27831,
32,74.29,481,865,1006.22186,48.22931,
33,77.41,482,866,1006.22766,48.25002,
31.9,74.76,483,867,1006.22522,48.26619,
32,74.44,484,868,1006.22327,48.35106,
33,77.18,485,869,1006.21313,48.39702,
34,74.74,486,870,1006.20764,48.33944,
32,78.01,487,871,1006.21454,48.43643,
32.5,84,488,872,1006.20294,48.47886,
33.2,72.18,489,873,1006.19788,48.45007,
33,72.76,490,874,1006.20135,48.3066,
32,83.51,491,875,1006.21844,48.05907,
32.6,73.31,492,876,1006.24799,48.17475,
34,82.72,493,877,1006.23419,48.22527,
31,72.94,147,878,1006.22815,48.20759,
29,80.1,148,879,1006.23029,48.33539,
30,72.4,149,880,1006.21503,48.04948,
32.8,83.16,150,881,1006.24915,48.12373,
33.2,83.01,151,882,1006.2403,47.78831,
34.2,76.65,152,883,1006.28033,47.46806,
34,77.27,153,884,1006.3186,47.29026,
34.3,76.99,154,885,1006.33984,47.16348,
33.2,73.02,155,886,1006.35498,47.25086,
33.3,74.21,156,887,1006.34454,47.32663,
33.6,75.41,157,888,1006.33545,47.40644,
31,74.84,158,889,1006.32593,47.38876,
33,78.24,159,890,1006.32806,47.49281,
34,88.89,160,891,1006.31561,47.33421,
30.1,81.42,161,892,1006.33459,47.1655,
32.9,78.36,162,893,1006.35474,47.12913,
31,80.82,163,894,1006.35907,47.10034,
30,80.49,164,895,1006.36249,47.41502,
30.6,76.82,165,896,1006.32495,47.3438,
30,77.85,166,897,1006.33344,47.45341,
33,80.02,167,898,1006.32031,47.33471,
33.1,85.09,168,899,1006.33453,47.30693,
