Temperature,Humidity,LightIntensity,Label
33.9,77,1024,0
34.9,78,1024,1
35.9,79,1024,0
36.9,80,1024,0
25.3,70,0,1
25.3,69,1,0
25.3,70,2,1
25.3,70,3,0
25.3,70,4,1
25.3,70,5,0
25.3,70,6,1
25.3,70,7,0
25.3,70,8,1
25.3,69,9,0
25.3,70,10,0
25.3,70,11,1
25.3,70,12,0
25.3,71,13,1
25.3,70,14,0
25.3,70,15,1
25.3,70,16,0
25.3,70,17,1
25.3,70,18,0
25.3,70,19,1
25.3,70,20,0
25.3,70,21,0
25.3,70,22,1
25.3,70,23,0
25.3,70,24,1
25.3,70,25,0
25.3,71,26,1
25.3,71,27,0
25.3,71,28,1
25.3,71,29,0
25.3,71,30,1
25.3,71,31,0
25.3,71,32,0
25.3,71,33,1
25.3,71,34,0
25.3,71,35,1
25.3,72,36,0
25.3,71,37,1
25.3,72,38,0
25.3,71,39,1
25.3,71,40,0
25.3,71,41,1
25.3,71,42,0
25.3,71,43,0
25.3,71,44,1
25.3,71,45,0
25.3,71,46,1
26.3,72,47,0
27.3,73,48,1
28.3,74,49,0
22.9,81,50,1
23,81,51,0
23,81,52,1
23,81,53,0
23,83,54,0
23,81,55,1
23,81,56,0
23,81,57,1
23,82,58,0
23.4,84,59,1
23,82,60,0
23,84,61,1
23,82,62,0
23.4,81,63,1
23.4,81,64,0
23.4,81,65,0
23.4,81,66,1
23.4,81,67,0
23.4,80,68,1
23.4,80,69,0
60.1,66,70,1
23.4,81,71,0
23.4,80,72,1
23.4,81,73,0
23.4,81,74,1
23,81,75,0
23,81,76,0
23,81,77,1
23,81,78,0
24,82,45,1
25,83,46,0
26,84,47,1
27,85,48,0
28,86,49,1
23.8,78,748,0
23.8,78,753,1
23.8,79,776,0
23.8,78,793,0
23.8,78,738,1
23.4,77,745,0
23.4,79,792,1
23.4,80,735,0
23.4,80,748,1
23.4,79,798,0
23.4,80,768,1
23.4,80,793,0
23.4,80,750,1
23.4,80,794,0
23.8,80,762,0
23.4,79,758,1
23.4,79,745,0
23.4,79,768,1
23.4,79,797,0
23.4,79,799,1
23.4,79,725,0
23.4,78,763,1
23.4,78,798,0
23.4,79,798,1
23.4,78,757,0
23.4,79,797,0
23.8,79,776,1
23.8,78,794,0
23.8,78,756,1
23.8,77,752,0
23.8,77,739,1
23.8,78,760,0
23.8,77,796,1
23.8,77,750,0
23.4,77,796,1
23.4,77,747,0
23.4,77,750,0
23.4,78,793,1
24.1,79,761,0
24.1,79,758,1
24.5,79,765,0
24.5,79,788,1
24.5,78,801,0
24.5,78,780,1
24.5,78,747,0
24.5,78,758,1
24.5,78,774,0
24.5,78,841,0
24.5,78,835,1
24.5,78,837,0
24.5,77,842,1
24.5,77,840,0
24.5,77,860,1
24.5,78,869,0
24.5,78,831,1
24.5,78,826,0
24.5,77,847,1
24.5,77,860,0
24.8,77,842,0
24.8,77,737,1
24.8,77,787,0
24.5,77,754,1
24.5,77,801,0
24.8,77,840,1
24.8,77,841,0
24.5,77,838,1
24.5,77,836,0
24.5,77,866,1
24.5,77,833,0
24.5,77,860,0
24.5,77,836,1
24.5,77,825,0
24.5,77,860,1
24.5,77,834,0
24.5,77,826,1
24.5,77,855,0
24.2,77,848,1
24.1,77,836,0
24.1,78,861,1
24.1,78,834,0
24.1,78,857,0
24.1,78,829,1
24.1,78,848,0
24.1,78,845,1
24.1,78,840,0
24.1,78,836,1
24.1,78,869,0
24.1,78,826,1
24.1,78,833,0
24.1,78,846,1
24.1,78,823,0
24.1,79,825,0
24.1,79,829,1
24.5,79,847,0
24.5,78,859,1
24.5,78,831,0
24.5,77,805,1
24.5,77,823,0
24.5,77,813,1
24.5,77,846,0
24.5,77,705,1
24.5,77,749,0
24.5,77,729,0
24.5,77,747,1
24.5,77,722,0
24.5,77,762,1
24.5,77,711,0
24.5,77,786,1
24.5,77,730,0
24.1,11,865,1
24.1,77,843,0
24.1,77,845,1
24.5,77,841,0
24.5,77,842,0
24.5,77,847,1
24.5,76,846,0
24.5,76,868,1
24.5,76,838,0
24.5,76,862,1
24.5,76,833,0
24.5,76,849,1
24.5,77,836,0
24.5,77,848,1
24.5,77,841,0
24.5,77,864,0
24.5,77,846,1
24.5,77,848,0
24.5,77,850,1
25.5,78,858,0
23.8,98,824,1
23.8,80,822,0
23.8,73,840,1
23.8,73,824,0
23.8,73,824,1
23.8,73,845,0
23.8,73,823,0
23.8,73,821,1
23.8,73,831,0
23.8,73,814,1
23.8,73,723,0
23.8,73,726,1
23.8,73,816,0
23.8,73,843,1
23.8,73,836,0
24.1,72,820,1
23.8,72,763,0
23.8,72,706,0
23.8,72,828,1
23.8,72,821,0
23.8,72,818,1
24.1,72,821,0
24.1,72,811,1
24.1,72,833,0
23.8,72,848,1
24.1,72,810,0
24.1,73,822,1
24.1,72,814,0
24.1,72,837,0
24.1,72,818,1
24.1,72,822,0
23.8,72,820,1
24.1,72,842,0
24.1,72,826,1
24.1,72,829,0
24.1,72,823,1
24.1,72,841,0
24.1,72,853,1
24.1,72,820,0
24.1,72,813,0
24.1,72,762,1
24.1,72,742,0
24.1,72,727,1
24.1,72,745,0
24.1,72,774,1
24.1,72,765,0
24.1,72,718,1
24.1,72,721,0
24.1,72,734,1
24.1,72,740,0
24.1,72,759,0
24.1,72,720,1
24.1,72,738,0
24.1,72,728,1
24.1,72,720,0
24.1,72,740,1
24.1,72,720,0
24.1,72,775,1
24.1,72,735,0
24.1,72,748,1
24.1,72,774,0
24.1,72,734,0
24.1,71,749,1
24.1,71,728,0
24.1,71,723,1
24.1,72,738,0
24.1,72,735,1
24.1,71,768,0
24.1,71,738,1
24.1,71,759,0
24.1,71,749,1
24.1,71,717,0
24.1,71,735,0
24.1,71,727,1
24.1,71,733,0
24.1,71,740,1
24.1,71,766,0
24.1,71,763,1
24.1,72,735,0
24.1,72,732,1
24.1,71,730,0
24.1,72,748,1
24.1,71,712,0
24.1,71,727,0
24.1,71,773,1
24.1,71,773,0
24.1,71,742,1
24.1,72,741,0
24.1,71,769,1
24.1,71,729,0
24.1,71,753,1
24.1,71,708,0
24.1,71,760,1
24.1,71,717,0
24.1,71,740,0
24.1,71,735,1
24.1,71,773,0
24.1,72,774,1
24.1,71,708,0
24.1,72,735,1
24.1,72,716,0
24.1,72,768,1
22.6,71,842,0
22.6,71,833,1
22.6,71,789,0
23,71,794,0
23,70,800,1
23,71,813,0
23,70,835,1
23,70,835,0
23,69,796,1
23,69,674,0
23,70,680,1
23.4,70,668,0
23.4,69,729,1
23.4,70,716,0
23.4,70,720,0
23.4,70,750,1
23.4,69,722,0
23.4,69,746,1
23.4,69,696,0
23.4,70,702,1
23.4,70,712,0
23.4,69,715,1
23.4,69,709,0
23.4,69,722,1
23.4,69,727,0
23.4,69,834,0
23.4,69,797,1
23.4,69,816,0
23.4,69,807,1
23.4,69,810,0
23.4,69,812,1
23.4,69,833,0
23.4,70,762,1
23.4,69,776,0
23.4,69,744,1
23.4,69,810,0
23.4,69,796,0
23.4,70,796,1
23.4,70,806,0
23.4,69,758,1
23.4,69,713,0
23.4,69,685,1
23.4,69,718,0
23.4,70,685,1
23.4,69,746,0
23.4,69,686,1
23.4,69,675,0
23.4,69,685,0
23.4,69,741,1
23.7,69,726,0
23.4,69,709,1
23.4,69,756,0
23.4,70,713,1
23.4,70,727,0
23.5,70,686,1
23.5,70,725,0
23.4,70,715,1
23.8,70,722,0
23.8,70,738,0
23.8,70,736,1
23.8,70,713,0
23.4,69,769,1
23.4,69,712,0
23.4,69,756,1
23.8,69,740,0
23.8,69,727,1
23.8,69,768,0
23.4,70,712,1
23.4,70,754,0
23.4,69,768,0
23.4,69,746,1
23.4,69,762,0
23.4,69,738,1
23.4,69,735,0
23.4,69,768,1
23.4,70,736,0
23.4,70,758,1
23.4,70,730,0
23.4,70,748,1
23.4,71,712,0
23.4,70,722,0
23.4,70,716,1
23.4,70,758,0
23.4,70,766,1
23.4,70,725,0
23.4,70,772,1
23.4,71,715,0
23.4,71,737,1
23.4,71,741,0
23.4,71,748,1
23.4,71,752,0
22.6,71,761,0
22.6,71,716,1
22.6,71,715,0
23,71,776,1
23,71,716,0
23,71,760,1
23,70,726,0
23,70,742,1
23,70,749,0
23,70,805,1
23,71,730,0
23,71,727,0
23,72,729,1
23.4,71,759,0
23.4,70,794,1
23.4,70,787,0
23.4,69,749,1
23.4,70,807,0
23.4,70,741,1
23.4,70,786,0
23.4,70,782,1
23.4,70,754,0
23.4,70,757,0
23.4,70,747,1
23,70,742,0
23.4,70,758,1
23.4,70,879,0
23.4,71,841,1
23.4,71,866,0
23.4,71,844,1
23.4,70,820,0
23.4,70,834,1
23.4,69,867,0
23.4,69,855,0
23.4,69,871,1
23.4,69,873,0
23.4,69,833,1
23.4,69,831,0
23.4,69,838,1
23.4,69,870,0
23.4,69,835,1
23.4,69,838,0
23.4,69,808,1
23.4,69,807,0
23.4,69,778,0
23.4,69,675,1
23.4,69,676,0
23.4,69,712,1
23.4,69,831,0
23.4,69,822,1
23.4,69,830,0
23.4,69,802,1
23.4,69,794,0
23.4,69,837,1
23.4,69,806,0
23.4,69,833,0
23.4,69,806,1
23.4,69,823,0
23.4,69,834,1
23.4,69,852,0
23.4,69,727,1
23.4,70,728,0
23.4,69,729,1
23.4,69,865,0
23.4,69,864,1
23.4,69,826,0
23.4,69,829,0
23.4,69,832,1
23.4,69,856,0
23.4,69,860,1
23.4,69,843,0
23.4,69,832,1
23.4,69,834,0
23.4,69,860,1
23.4,69,857,0
23.4,69,834,1
23.4,69,855,0
23.4,69,830,0
23.4,69,843,1
23.4,69,840,0
23.4,69,860,1
23.4,69,844,0
23.4,75,840,1
23.4,73,834,0
23.4,73,842,1
23.4,73,819,0
23.4,73,831,1
23.4,73,821,0
23.4,72,855,0
23.8,73,837,1
23.8,72,825,0
23.8,71,842,1
23.8,71,840,0
23.8,71,821,1
23.8,69,855,0
23.8,69,826,1
23.8,69,825,0
23.8,70,857,1
23.8,70,829,0
23.8,69,822,0
23.8,69,848,1
23.8,71,836,0
23.8,70,823,1
23.8,71,820,0
23.8,71,825,1
23.8,71,846,0
23.8,71,826,1
23.8,70,852,0
23.8,70,820,1
23.8,69,852,0
23.8,69,853,0
23.8,69,824,1
23.8,69,843,0
23.8,69,843,1
23.8,69,847,0
23.8,69,847,1
23.8,69,820,0
23.8,69,821,1
23.8,69,846,0
23.8,69,832,1
23.8,69,842,0
23.8,68,856,0
23.8,68,845,1
23.8,67,835,0
23.8,68,845,1
23.8,69,831,0
23.8,68,820,1
23.8,69,824,0
23.8,69,849,1
23.8,69,864,0
23.8,69,841,1
23.8,69,860,0
23.8,70,861,0
23.8,69,852,1
23.8,69,822,0
23.8,69,852,1
23.8,69,829,0
23.8,69,828,1
23.8,69,862,0
23.8,69,822,1
23.8,69,836,0
23.8,69,860,1
23.8,69,821,0
23.8,69,858,0
23.8,69,828,1
23.8,69,773,0
23.8,69,783,1
23.4,69,782,0
23.4,69,718,1
23.8,69,736,0
23.8,69,734,1
23.8,70,781,0
23,77,848,1
23,77,822,0
23,76,849,0
23.4,75,820,1
23.4,75,843,0
23.4,74,849,1
23.4,74,853,0
23.4,74,852,1
23.4,75,843,0
23.8,74,829,1
23.8,74,844,0
23.8,73,814,1
23.8,74,832,0
23.8,74,814,0
23.8,75,841,1
23.8,75,820,0
23.8,75,848,1
23.8,75,830,0
23.8,75,811,1
23.8,74,835,0
24.1,75,849,1
24.1,75,843,0
21,69,800,1
21,69,817,0
21,70,828,0
21,70,843,1
21,70,817,0
21,69,824,1
21,69,822,0
21,69,856,1
21,69,824,0
21,69,834,1
21,69,855,0
21,68,834,1
21,69,835,0
21,69,881,0
21,69,912,1
21,68,876,0
21,70,768,1
21,70,764,0
21,69,793,1
21,69,793,0
21.4,69,793,1
21.4,69,782,0
21.4,69,769,1
21.4,67,786,0
21.4,66,762,0
21.4,66,792,1
21.4,68,785,0
21.4,68,776,1
21.4,67,759,0
21.4,66,783,1
21.4,66,763,0
21.4,66,808,1
21.4,66,784,0
21.4,67,796,1
21.4,68,800,0
21.4,68,768,0
21.4,67,773,1
21.4,66,771,0
21.4,65,788,1
21.4,64,808,0
20.6,70,773,1
20.6,70,847,0
20.6,70,822,1
20.6,70,855,0
20.6,70,866,1
20.6,70,854,0
20.6,70,853,0
20.6,70,858,1
20.6,70,876,0
21,69,843,1
21,69,847,0
21,69,881,1
21,69,860,0
21,68,848,1
21,69,881,0
20.6,70,859,1
20.6,70,880,0
20.6,70,877,0
20.6,70,859,1
20.6,70,846,0
20.6,69,855,1
20.6,70,861,0
20.6,69,873,1
20.6,69,866,0
20.6,69,873,1
20.6,69,895,0
20.6,69,885,1
20.6,69,886,0
20.6,69,876,0
20.6,69,888,1
20.6,69,893,0
20.6,69,876,1
20.2,69,890,0
20.2,69,912,1
20.2,69,888,0
20.2,69,895,1
20.2,69,896,0
20.6,69,888,1
20.6,69,886,0
20.6,69,886,0
20.6,69,908,1
20.6,69,888,0
20.6,69,892,1
20.6,69,886,0
20.6,70,883,1
20.6,70,824,0
20.6,69,782,1
18.2,70,618,0
18.2,70,678,1
18.2,70,596,0
18.6,70,522,0
19.6,71,475,1
20.6,72,753,0
21.6,73,772,1
22.6,74,738,0
19.4,68,799,1
19.4,65,853,0
19.4,65,841,1
19.4,65,860,0
19.8,65,825,1
19.8,65,860,0
19.8,64,753,0
19.8,65,842,1
19.8,65,831,0
19.8,64,826,1
19.8,65,822,0
19.8,64,900,1
20.2,64,849,0
20.2,64,849,1
20.2,63,840,0
20.2,63,857,1
20.2,64,818,0
20.2,64,841,0
20.2,63,830,1
20.2,63,842,0
20.2,63,849,1
20.2,63,833,0
20.2,63,855,1
20.2,71,855,0
20.2,71,858,1
20.2,70,856,0
20.2,70,859,1
20.3,70,861,0
20.6,71,853,0
20.2,71,879,1
20.2,71,889,0
20.2,71,871,1
20.2,71,885,0
20.2,71,890,1
20.2,71,855,0
20.2,71,892,1
20.6,71,878,0
20.6,71,868,1
20.6,71,867,0
20.6,71,869,0
20.6,71,857,1
20.6,71,888,0
20.6,71,876,1
20.6,71,856,0
20.6,71,858,1
18.2,72,692,0
18.2,72,684,1
18.2,72,693,0
18.2,71,729,1
18.2,71,675,0
18.2,70,693,0
18.2,72,675,1
18.3,71,736,0
18.6,71,663,1
18.6,70,694,0
18.2,70,692,1
18.2,70,716,0
18.6,66,741,1
18.6,70,667,0
19.8,70,842,1
19.8,70,831,0
19.8,70,831,0
19.8,70,818,1
19.8,70,841,0
20.2,70,842,1
20.2,70,859,0
20.2,70,824,1
20.2,70,866,0
20.2,70,868,1
20.2,70,832,0
20.2,70,845,1
20.2,69,867,0
20.2,69,858,0
20.2,69,825,1
20.2,69,832,0
20.2,69,860,1
20.2,69,868,0
20.2,69,855,1
20.2,69,951,0
20.2,70,822,1
20.2,69,832,0
21.8,73,691,1
21.8,73,702,0
21.8,73,740,0
21.8,73,696,1
21.8,73,762,0
21.8,73,692,1
21.8,73,754,0
22.2,73,721,1
22.2,73,741,0
22.2,73,694,1
22.2,72,701,0
22.2,73,664,1
22.2,73,627,0
22.2,73,580,0
21.8,73,591,1
22.8,74,475,0
21.8,75,720,1
19.2,76,512,0
20.2,77,569,1
21.2,78,810,0
22.2,79,793,1
22.2,80,801,0
22.2,81,835,1
22.2,82,812,0
23.2,83,552,0
22.6,73,826,1
22.6,73,601,0
22.6,73,824,1
22.6,73,830,0
22.6,73,818,1
22.6,73,785,0
22.6,73,834,1
22.6,73,828,0
22.7,72,812,1
22.6,73,796,0
22.7,73,843,0
22.6,73,835,1
22.6,73,694,0
22.6,73,847,1
22.7,72,824,0
22.7,72,794,1
22.6,72,816,0
22.7,72,826,1
20.6,78,816,0
26.2,59,878,1
26.2,59,546,0
24.8,59,564,0
24.8,59,541,1
24.5,59,536,0
25.3,58,555,1
26.2,58,480,0
26.2,58,517,1
26.2,58,550,0
22.2,73,866,1
22.2,73,869,0
22.3,74,885,1
22.2,86,718,0
22.2,87,760,0
22.2,88,718,1
22.2,86,735,0
22.2,85,737,1
22.2,85,749,0
22.2,86,778,1
22.6,86,740,0
22.6,86,769,1
22.6,85,729,0
22.6,85,744,1
22.6,85,782,0
22.6,85,727,0
22.6,85,712,1
22.6,85,722,0
22.6,85,721,1
22.6,84,732,0
22.6,84,727,1
22.6,83,782,0
23,82,768,1
21.8,88,728,0
21.8,88,730,1
21.8,88,718,0
22.2,88,722,0
22.2,88,727,1
22.2,89,732,0
22.2,88,738,1
22.2,87,777,0
22.6,87,721,1
22.6,88,766,0
22.6,88,763,1
22.6,87,739,0
22.6,86,758,1
22.6,86,746,0
22.6,86,728,0
22.6,86,736,1
22.6,85,744,0
22.6,85,740,1
22.6,86,773,0
22.6,86,774,1
22.6,86,717,0
22.6,86,722,1
22.6,86,721,0
22.6,85,720,1
22.6,86,748,0
22.6,86,768,0
22.6,85,736,1
22.6,82,727,0
22.6,82,729,1
22.6,84,753,0
22.6,84,734,1
22.6,85,749,0
22.6,85,781,1
22.6,85,765,0
22.6,85,741,1
22.6,85,718,0
22.6,85,736,0
22.6,85,722,1
22.6,85,785,0
22.6,85,820,1
22.6,85,817,0
22.6,85,821,1
22.6,85,814,0
22.6,84,812,1
22.6,84,834,0
22.6,85,832,1
22.6,85,852,0
22.6,84,835,0
22.6,84,820,1
22.6,84,855,0
22.6,82,812,1
22.6,84,854,0
22.6,85,826,1
21,75,842,0
21,77,831,1
21.1,77,848,0
21.4,77,807,1
21.4,76,833,0
21.4,76,843,0
21.4,76,814,1
21.4,76,847,0
21.4,76,814,1
21.4,76,814,0
21.4,76,720,1
21.4,76,746,0
21.4,75,780,1
21.4,75,836,0
21.4,76,813,1
21.8,77,833,0
21.8,77,842,0
21.8,76,810,1
21.8,75,820,0
21.8,74,845,1
21.8,74,813,0
21.8,74,811,1
21.8,74,813,0
21.8,74,811,1
21.8,74,814,0
21.8,74,941,1
21.8,74,812,0
21.8,74,806,0
21.8,75,818,1
21.8,75,817,0
21.8,74,820,1
21.8,74,818,0
21.8,74,849,1
21.8,74,812,0
21.8,75,805,1
21.8,75,848,0
21.8,74,810,1
21.8,74,845,0
21.8,74,814,0
21.8,74,834,1
21.8,74,813,0
21.8,74,848,1
21.8,74,832,0
21.8,73,818,1
22.2,73,825,0
22.2,74,843,1
21.8,74,840,0
21.8,74,807,1
21.8,74,814,0
21.8,74,813,0
21.8,74,814,1
21.8,74,832,0
21.8,74,807,1
21.8,74,816,0
21.8,74,813,1
22.2,74,807,0
22.2,74,814,1
22.2,74,824,0
22.2,74,849,1
22.2,74,820,0
21.9,74,846,0
22.6,72,667,1
22.6,73,823,0
22.6,73,788,1
22.6,72,800,0
22.6,72,823,1
22.6,72,796,0
22.6,72,794,1
22.6,72,801,0
22.6,72,794,1
22.6,73,824,0
22.6,73,798,0
22.6,72,805,1
22.6,73,799,0
22.6,73,832,1
22.6,73,812,0
22.6,73,807,1
22.6,73,833,0
22.6,73,806,1
22.6,73,819,0
22.6,73,807,1
22.6,73,788,0
22.6,73,825,0
22.6,73,802,1
22.6,73,832,0
23,74,820,1
23,74,788,0
23,74,824,1
23,74,833,0
23,73,823,1
23,73,821,0
23,73,798,1
23,73,808,0
23,73,840,0
23,73,810,1
23,73,832,0
23,73,841,1
22.7,73,806,0
23,74,800,1
23,74,795,0
23,73,821,1
22.6,73,843,0
22.8,74,802,1
23,74,818,0
23,73,810,0
22.6,73,824,1
22.6,73,814,0
23,76,802,1
23,74,814,0
23,73,840,1
23,73,843,0
23,73,841,1
23,73,807,0
23,73,841,1
23,73,823,0
23,73,796,0
23,73,841,1
23,73,804,0
23,73,816,1
23,73,841,0
23,73,801,1
23,73,811,0
23,72,805,1
23,72,802,0
23,72,812,1
23,73,830,0
23.4,73,833,0
23.4,73,797,1
23.4,72,812,0
23.4,72,806,1
23.4,73,805,0
23.4,73,831,1
23.4,72,810,0
23.4,72,817,1
24.1,71,833,0
24.1,72,813,1
24.1,72,841,0
24.5,72,831,0
24.5,71,828,1
24.6,71,817,0
24.8,69,812,1
24.8,70,802,0
24.8,69,795,1
24.8,69,806,0
24.8,70,841,1
24.8,70,831,0
24.5,69,801,1
24.5,69,822,0
24.8,69,801,0
24.8,70,842,1
24.8,70,821,0
24.8,69,841,1
24.8,70,816,0
24.8,70,812,1
25.3,70,831,0
25.3,70,800,1
25.3,70,841,0
25.3,69,798,1
25.3,69,832,0
25.3,69,798,0
24.8,70,821,1
24.8,70,806,0
24.8,70,832,1
24.8,71,798,0
24.8,70,825,1
24.8,70,823,0
25.3,69,814,1
25.3,69,842,0
24.8,70,798,1
24.8,69,806,0
24.8,70,807,0
24.8,69,834,1
25.3,69,819,0
25.3,69,818,1
25.3,69,798,0
25.3,69,806,1
25.3,69,820,0
25.8,69,808,1
25.8,69,813,0
25.3,69,821,1
25.3,69,798,0
25.3,69,805,0
25.3,69,829,1
25.8,69,807,0
25.8,69,808,1
25.3,69,800,0
25.3,69,832,1
25.3,69,807,0
25.3,70,800,1
25.3,69,807,0
25.8,69,801,1
25.8,69,807,0
25.8,70,825,0
25.8,69,806,1
25.8,69,818,0
25.3,69,805,1
26.3,70,775,0
27.3,71,705,1
23,77,756,0
23.4,77,728,1
23.3,76,729,0
23,75,729,1
23,75,715,0
23,75,759,0
23,75,714,1
23,75,766,0
23,75,736,1
23,75,717,0
23,75,712,1
22.7,75,765,0
22.6,75,760,1
23,76,721,0
23,76,728,1
23,75,720,0
